# Format: TARIH|SEMBOL|YUZDE
2025-10-24|ATSYH|10.0
2025-10-24|BINBN|9.88
2025-10-24|BMSCH|9.97
2025-10-24|BRYAT|9.92
2025-10-24|BVSAN|10.0
2025-10-24|CEMAS|9.94
2025-10-24|CRDFA|9.97
2025-10-24|GUNDG|10.0
2025-10-24|INTEM|10.0
2025-10-24|ISCTR|9.29
2025-10-24|ISMEN|9.46
2025-10-24|LINK|9.97
2025-10-24|LYDHO|9.93
2025-10-24|METRO|9.88
2025-10-24|ONCSM|9.97
2025-10-24|POLTK|9.98
2025-10-24|SELVA|9.74
2025-10-24|SNICA|9.31
2025-10-24|TATGD|9.98
2025-10-24|VERUS|9.92
2025-10-27|AVGYO|9.49
2025-10-27|BURCE|10.0
2025-10-27|BURVA|9.97
2025-10-27|CEOEM|9.96
2025-10-27|HDFGS|10.0
2025-10-27|IZINV|9.93
2025-10-27|KGYO|9.84
2025-10-27|MAGEN|9.92
2025-10-27|PAPIL|9.99
2025-10-27|PCILT|9.91
2025-10-27|TEKTU|9.93
2025-10-28|HUBVC|9.54
2025-10-28|MMCAS|9.99
2025-10-28|ONCSM|9.44
2025-10-28|RTALB|9.77
2025-10-28|YGGYO|9.61
2025-10-30|ALCTL|9.94
2025-10-30|ATEKS|9.46
2025-10-30|BINBN|10.0
2025-10-30|BRYAT|10.0
2025-10-30|CEMZY|10.0
2025-10-30|DENGE|9.8
2025-10-30|IMASM|9.93
2025-10-30|INFO|9.8
2025-10-30|MANAS|9.97
2025-10-30|METRO|9.93
2025-10-30|MRGYO|9.94
2025-10-30|PATEK|9.99
2025-10-30|POLTK|9.97
2025-10-30|PRKAB|9.95
2025-10-30|SKTAS|10.0
2025-10-30|SKYLP|9.99
2025-10-30|TUREX|10.0
2025-10-30|TURGG|9.99
2025-10-30|UFUK|10.0
2025-10-30|YESIL|10.0
2025-10-30|YGYO|9.66
2025-10-30|YYAPI|9.66
2025-10-31|BEYAZ|9.96
2025-10-31|BRMEN|9.37
2025-10-31|BRSAN|9.99
2025-10-31|COSMO|9.94
2025-10-31|ECZYT|10.0
2025-10-31|EGGUB|9.95
2025-10-31|EMKEL|9.92
2025-10-31|EUHOL|9.95
2025-10-31|FONET|9.8
2025-10-31|KONTR|9.99
2025-10-31|KRTEK|9.98
2025-10-31|LMKDC|9.95
2025-10-31|MEGAP|9.88
2025-10-31|SUWEN|9.99
2025-10-31|VERTU|9.98
2025-10-31|VERUS|10.0
2025-11-03|AHSGY|9.93
2025-11-03|BMSCH|9.74
2025-11-03|BRKVY|9.98
2025-11-03|KLGYO|9.88
2025-11-03|KMPUR|9.97
2025-11-03|MAKTK|9.98
2025-11-03|MMCAS|9.31
2025-11-03|OYAYO|10.0
2025-11-03|PASEU|10.0
2025-11-03|PKENT|10.0
2025-11-03|POLHO|9.52
2025-11-03|SAMAT|9.91
2025-11-03|SKTAS|9.85
2025-11-03|SODSN|10.0
2025-11-03|TDGYO|9.79
2025-11-03|TMPOL|10.0
2025-11-03|TURSG|9.96
2025-11-03|UFUK|9.98
2025-11-03|YESIL|9.82
2025-11-03|YYAPI|9.92
2025-11-04|AKENR|9.96
2025-11-04|ALCTL|9.94
2025-11-04|AVOD|9.89
2025-11-04|CRDFA|9.79
2025-11-04|KATMR|10.0
2025-11-04|KLRHO|9.93
2025-11-04|ORCAY|9.8
2025-11-04|OYYAT|9.95
2025-11-04|SKYLP|10.0
2025-11-04|YBTAS|10.0
2025-11-05|BLCYT|10.0
2025-11-05|BMSTL|9.96
2025-11-05|EMKEL|9.98
2025-11-05|IEYHO|9.96
2025-11-05|MAGEN|9.96
2025-11-05|MEPET|9.95
2025-11-05|PAPIL|9.95
2025-11-05|POLTK|9.98
2025-11-05|SELVA|9.66
2025-11-05|TTKOM|10.0
2025-11-05|ULAS|9.89
2025-11-05|YEOTK|9.98
2025-11-06|ATSYH|9.99
2025-11-06|BURVA|9.95
2025-11-06|CRFSA|10.0
2025-11-06|DAPGM|9.02
2025-11-06|DOGUB|9.96
2025-11-06|KATMR|9.75
2025-11-06|MANAS|9.93
2025-11-06|ONCSM|9.98
2025-11-06|SNKRN|9.21
2025-11-06|TERA|9.93
2025-11-07|CEMZY|9.99
2025-11-07|DITAS|9.95
2025-11-07|SONME|9.96
2025-11-07|TEKTU|10.0
2025-11-07|TSGYO|9.97
2025-11-07|YUNSA|9.91
2025-11-10|ATATP|9.96
2025-11-10|AYES|9.72
2025-11-10|GENIL|9.79
2025-11-10|LYDHO|10.0
2025-11-10|LYDYE|10.0
2025-11-10|ODINE|9.78
2025-11-10|SEGYO|9.93
2025-11-10|SKYLP|9.96
2025-11-10|TERA|9.96
2025-11-10|ULAS|10.0
2025-11-11|CEMAS|9.85
2025-11-11|FENER|9.96
2025-11-11|MNDRS|9.98
2025-11-11|SANEL|9.94
2025-11-12|OYAYO|9.96
2025-11-13|BMSTL|9.99
2025-11-13|BRMEN|10.0
2025-11-13|CANTE|9.91
2025-11-13|DENGE|9.83
2025-11-13|EMKEL|9.23
2025-11-13|ETYAT|9.83
2025-11-13|IMASM|9.96
2025-11-13|LIDER|9.99
2025-11-13|OZSUB|9.99
2025-11-13|PRZMA|9.93
2025-11-13|SMRVA|9.48
2025-11-13|TEKTU|9.92
2025-11-13|TMPOL|9.97
2025-11-13|YESIL|9.66
2025-11-13|YYAPI|9.91
2025-11-14|AVTUR|9.99
2025-11-14|COSMO|9.95
2025-11-14|IZINV|9.99
2025-11-14|LUKSK|9.95
2025-11-14|PASEU|9.23
2025-11-14|SEGYO|9.98
2025-11-14|VKING|9.99
2025-11-17|AGROT|9.96
2025-11-17|AKENR|9.95
2025-11-17|ALFAS|9.98
2025-11-17|ALKLC|9.93
2025-11-17|ANGEN|9.92
2025-11-17|ATATP|9.94
2025-11-17|BAKAB|9.99
2025-11-17|BARMA|9.99
2025-11-17|BINBN|10.0
2025-11-17|BLCYT|9.96
2025-11-17|BMSTL|10.0
2025-11-17|DURDO|9.78
2025-11-17|ERSU|9.99
2025-11-17|GEREL|9.97
2025-11-17|GIPTA|9.92
2025-11-17|GRTHO|9.99
2025-11-17|GUNDG|9.98
2025-11-17|HURGZ|9.91
2025-11-17|IMASM|9.96
2025-11-17|MIATK|10.0
2025-11-17|OZYSR|9.97
2025-11-17|PRKAB|9.96
2025-11-17|RNPOL|9.74
2025-11-17|UFUK|9.96
2025-11-18|BALAT|9.96
2025-11-18|BFREN|9.99
2025-11-18|BURVA|9.23
2025-11-18|CASA|9.95
2025-11-18|ERCB|9.94
2025-11-18|IHLAS|9.94
2025-11-18|KLRHO|9.9
2025-11-18|KUYAS|10.0
2025-11-18|MAKTK|9.96
2025-11-18|SANEL|9.95
2025-11-18|TMSN|9.95
2025-11-19|ATAGY|9.94
2025-11-19|BAHKM|9.95
2025-11-19|CRDFA|9.79
2025-11-19|GUNDG|9.8
2025-11-19|IEYHO|9.94
2025-11-19|SKYLP|9.94
2025-11-20|ALKLC|10.0
2025-11-20|ASUZU|9.94
2025-11-20|BAYRK|10.0
2025-11-20|CWENE|9.98
2025-11-20|DITAS|9.99
2025-11-20|DOGUB|9.99
2025-11-20|HATEK|9.93
2025-11-20|SEKUR|39.76
2025-11-20|SELVA|9.73
2025-11-20|VKING|9.98
2025-11-21|BMSCH|9.93
2025-11-21|BMSTL|9.93
2025-11-21|BURVA|10.0
2025-11-21|FORMT|9.79
2025-11-21|GUNDG|10.0
2025-11-21|KONTR|9.99
2025-11-21|MEKAG|9.84
2025-11-21|QNBFK|9.95
2025-11-21|TMPOL|10.0
2025-11-24|AKENR|9.93
2025-11-24|ARDYZ|9.96
2025-11-24|CASA|9.32
2025-11-24|CEMZY|9.97
2025-11-24|COSMO|10.0
2025-11-24|DERHL|9.94
